Timestamp,Twist Linear,Twist Angular
"1609836404,6300243","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836404,320918854","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836404,620811443","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836404,765502549","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836404,989167198","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836405,230736796","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836405,369089730","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836405,585386580","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836405,851994173","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836405,963185985","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836406,204166218","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836406,451740648","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836406,589016656","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836406,777541380","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836406,968540199","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836407,209800294","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836407,375647464","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836407,588739826","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836407,767060780","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836407,976290313","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836408,213052785","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836408,369751294","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836408,588331766","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836408,769670550","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836408,970603690","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836409,219555967","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836409,375916491","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836409,592085794","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836409,773523988","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
"1609836409,978886526","x: 0.0
y: 0.0
z: -0.0","x: 0.0
y: 0.0
z: 0.0"
